Source,Target
Real Madrid,Wolfsburg
Barcelona,Inter
Barcelona,AC Milan
Barcelona,Juventus
Barcelona,Napoli
Barcelona,Lazio
Barcelona,Roma
Barcelona,Sampdoria
Barcelona,Udinese
Barcelona,Fiorentina
Barcelona,Paris Saint Germain
Barcelona,Monaco
Barcelona,Lyon
Barcelona,Nice
Barcelona,Strasbourg
Barcelona,B Dortmund
Barcelona,B Leverkusen
Barcelona,B M'gladbach
Barcelona,B Munich
Barcelona,Cologne
Barcelona,Hertha Berlin
Barcelona,Schalke
Barcelona,Stuttgart
Barcelona,W Bremen
Sevilla,Inter
Sevilla,AC Milan
Sevilla,Juventus
Sevilla,Lazio
Sevilla,Roma
Sevilla,Sampdoria
Sevilla,Fiorentina
Sevilla,Parma
Sevilla,Lille
Sevilla,Paris Saint Germain
Sevilla,Lyon
Sevilla,Rennes
Sevilla,B Dortmund
Sevilla,B M'gladbach
Sevilla,B Munich
Sevilla,Freiburg
Sevilla,Mainz
Sevilla,Schalke
Sevilla,Stuttgart
Sociedad,Juventus
Sociedad,Napoli
Sociedad,Lyon
Sociedad,B Leverkusen
Villarreal,Inter
Villarreal,Napoli
Villarreal,Lazio
Villarreal,Roma
Villarreal,Fiorentina
Villarreal,Torino
Villarreal,Lille
Villarreal,Monaco
Villarreal,Lyon
Villarreal,B Leverkusen
Villarreal,B M'gladbach
Villarreal,B Munich
Villarreal,Wolfsburg
Real Betis,AC Milan
Real Betis,Bologna
Real Betis,Monaco
Real Betis,Lyon
Real Betis,Rennes
Granada,Napoli
Athletic Bilbao,AC Milan
Athletic Bilbao,Juventus
Athletic Bilbao,Napoli
Athletic Bilbao,Sassuolo
Athletic Bilbao,Sampdoria
Athletic Bilbao,Torino
Athletic Bilbao,Parma
Athletic Bilbao,Paris Saint Germain
Athletic Bilbao,Lyon
Athletic Bilbao,Marseille
Athletic Bilbao,Bordeaux
Athletic Bilbao,Augsburg
Athletic Bilbao,E Frankfurt
Athletic Bilbao,Hertha Berlin
Athletic Bilbao,Schalke
Athletic Bilbao,W Bremen
Celta Vigo,AC Milan
Celta Vigo,Juventus
Celta Vigo,Lens
Celta Vigo,Marseille
Celta Vigo,E Frankfurt
Celta Vigo,Stuttgart
Celta Vigo,W Bremen
Valencia,Inter
Valencia,Juventus
Valencia,Atalanta
Valencia,Lazio
Valencia,Roma
Valencia,Fiorentina
Valencia,Genoa
Valencia,Lille
Valencia,Paris Saint Germain
Valencia,Monaco
Valencia,Lyon
Valencia,Marseille
Valencia,St-Etienne
Valencia,Bordeaux
Valencia,B Leverkusen
Valencia,B Munich
Valencia,Cologne
Valencia,Schalke
Valencia,W Bremen
Getafe,Inter
Getafe,B Munich
Getafe,Stuttgart
Alaves,Inter
Osasuna,Parma
Osasuna,Lens
Osasuna,Rennes
Osasuna,Bordeaux
Osasuna,B Leverkusen
Inter,Lille
Inter,Monaco
Inter,Lyon
Inter,Marseille
Inter,St-Etienne
Inter,Strasbourg
Inter,Nantes
Inter,B Dortmund
Inter,B Leverkusen
Inter,B M'gladbach
Inter,B Munich
Inter,Cologne
Inter,E Frankfurt
Inter,Hertha Berlin
Inter,Schalke
Inter,W Bremen
Inter,Wolfsburg
AC Milan,Lille
AC Milan,Paris Saint Germain
AC Milan,Monaco
AC Milan,Lyon
AC Milan,Lens
AC Milan,Marseille
AC Milan,Strasbourg
AC Milan,B Dortmund
AC Milan,B Munich
AC Milan,Hertha Berlin
AC Milan,Schalke
AC Milan,W Bremen
AC Milan,Wolfsburg
Juventus,Monaco
Juventus,Lyon
Juventus,Marseille
Juventus,Rennes
Juventus,Bordeaux
Juventus,Nantes
Juventus,B Dortmund
Juventus,B Leverkusen
Juventus,B M'gladbach
Juventus,B Munich
Juventus,Cologne
Juventus,E Frankfurt
Juventus,Hertha Berlin
Juventus,W Bremen
Atalanta,Paris Saint Germain
Atalanta,Lyon
Atalanta,B Dortmund
Napoli,Paris Saint Germain
Napoli,Marseille
Napoli,Metz
Napoli,Nice
Napoli,B Dortmund
Napoli,B Munich
Napoli,RB Leipzig
Napoli,Stuttgart
Napoli,Wolfsburg
Lazio,Lens
Lazio,Marseille
Lazio,Rennes
Lazio,Nice
Lazio,St-Etienne
Lazio,Nantes
Lazio,B Dortmund
Lazio,B Leverkusen
Lazio,B M'gladbach
Lazio,B Munich
Lazio,E Frankfurt
Lazio,Stuttgart
Lazio,W Bremen
Roma,Lyon
Roma,Strasbourg
Roma,Bordeaux
Roma,B Leverkusen
Roma,B M'gladbach
Roma,B Munich
Roma,Cologne
Roma,Hertha Berlin
Sampdoria,Lens
Sampdoria,Hertha Berlin
Sampdoria,Stuttgart
Sampdoria,W Bremen
Bologna,Lyon
Bologna,Marseille
Udinese,Lens
Udinese,Rennes
Udinese,B Dortmund
Udinese,B Leverkusen
Udinese,W Bremen
Fiorentina,Lille
Fiorentina,Lyon
Fiorentina,Nice
Fiorentina,Bordeaux
Fiorentina,B M'gladbach
Fiorentina,B Munich
Fiorentina,Cologne
Fiorentina,Schalke
Genoa,Lille
Torino,B M'gladbach
Cagliari,St-Etienne
Parma,Lille
Parma,Lens
Parma,Marseille
Parma,Bordeaux
Parma,B Dortmund
Parma,Stuttgart
Parma,W Bremen
Lille,B Dortmund
Lille,B Munich
Lille,Stuttgart
Lille,Wolfsburg
Paris Saint Germain,B Dortmund
Paris Saint Germain,B Leverkusen
Paris Saint Germain,B Munich
Paris Saint Germain,RB Leipzig
Paris Saint Germain,Schalke
Paris Saint Germain,Wolfsburg
Monaco,B Dortmund
Monaco,B Leverkusen
Monaco,B M'gladbach
Monaco,RB Leipzig
Monaco,W Bremen
Lyon,B Leverkusen
Lyon,B M'gladbach
Lyon,B Munich
Lyon,Hoffenheim
Lyon,RB Leipzig
Lyon,Schalke
Lyon,Stuttgart
Lyon,W Bremen
Lens,B Leverkusen
Lens,B Munich
Lens,Hertha Berlin
Lens,Stuttgart
Lens,Wolfsburg
Marseille,B Dortmund
Marseille,B M'gladbach
Marseille,B Munich
Marseille,Cologne
Marseille,E Frankfurt
Marseille,RB Leipzig
Marseille,W Bremen
Rennes,Stuttgart
Montpellier,Schalke
Nice,B Leverkusen
Nice,Cologne
Nice,Schalke
Nice,W Bremen
St-Etienne,B Munich
St-Etienne,Cologne
St-Etienne,Mainz
St-Etienne,W Bremen
St-Etienne,Wolfsburg
Strasbourg,E Frankfurt
Bordeaux,B Dortmund
Bordeaux,B Munich
Bordeaux,Cologne
Bordeaux,E Frankfurt
Bordeaux,W Bremen
Nantes,B Munich
