Id,club_name,manager,year_formed,chairman,city,market_value,country,rank
1748, Marseille , Jorge Sampaoli ,1899,Vincent Labrune,  ,224900000,france,6
2173, Rennes , Julien Stephan ,,,  ,230350000,france,7
1767, Montpellier , Michel Der Zakarian ,,,  ,112300000,france,8
1772, Metz , Frederic Antonetti ,,,  ,85250000,france,9
1832, Nice , Adrian Ursea ,,,  ,222050000,france,10
2146, Reims , David Guion ,,,  ,97050000,france,11
68, Angers , Stephane Moulin ,,,  ,82400000,france,12
935, St-Etienne , Claude Puel ,,,  ,104600000,france,13
2248, Strasbourg , Thierry Laurey ,,,  ,107200000,france,14
246, Bordeaux , Jean-Louis Gasset ,,,  ,93300000,france,16
3150, Lorient , Christophe Pellissier ,,,  ,69730000,france,17
2934, Stade Brest , Olivier Dall'Oglio ,,,  ,89080000,france,15
1834, Nimes , Pascal Plancque ,,,  ,61550000,france,18
1800, Nantes , Raymond Domenech ,,,  ,95300000,france,19
4197, Dijon , David Linares ,,,  ,63880000,france,20
163, Atletico Madrid , Diego Simeone ,1903,Enrique Cerezo,Madrid,748000000,spain,1
2165, Real Madrid , Zinedine Zidane ,1899,Florentino Perez,Madrid,746000000,spain,2
224, Barcelona , Ronald Koeman ,1899,Sandro Rosell,Barcelona,823000000,spain,3
2292, Sevilla , Julen Lopetegui ,1905,Jose Maria Del Nido,  ,370000000,spain,4
2192, Sociedad , Imanol Alguacil ,,,  ,346000000,spain,5
3123, Villarreal , Unai Emery ,1923,Fernando Roig Alfonso,  ,248000000,spain,6
2159, Real Betis , Manuel Pellegrini ,,,  ,199400000,spain,7
3427, Granada , Diego Martinez ,,,  ,115900000,spain,8
207, Athletic Bilbao , Marcelino Garcia Toral ,1898,,,219800000,spain,10
3251, Levante , Paco Lopez ,,,  ,107500000,spain,11
690, Celta Vigo , Eduardo Coudet ,,,  ,129200000,spain,12
3216, Cadiz , Alvaro Cervera ,,,  ,38700000,spain,13
2697, Valencia , Javier Gracia ,1919,Manuel Llorente,  ,246700000,spain,14
3480, Getafe , Jose Bordalas ,,,  ,169500000,spain,15
2975, Alaves , Abelardo Fernandez ,,,  ,75000000,spain,16
2676, Valladolid , Sergio Gonzalez ,,,  ,647000000,spain,17
3496, Huesca , Jose Rojo Martin ,,,  ,545000000,spain,18
3481, Elche , Fran Escriba ,,,  ,41000000,spain,19
889, Eibar , Jose Luis Mendilibar ,,,  ,745000000,spain,20
1951, Osasuna , Jagoba Arrasate ,,,  ,83000000,spain,9
